"","ID_IPEDS","year","degree_bach","public","enroll_futg","grant_state","grant_federal","netprice"
"332",220710,2012,TRUE,FALSE,313,1429538,739554,15605
"333",220756,2012,FALSE,TRUE,124,408146,507446,9860
"334",220765,2012,FALSE,FALSE,462,7139,1522522,10530
"335",220808,2012,TRUE,FALSE,68,114000,152132,21260
"336",220853,2012,FALSE,TRUE,569,418569,1938000,6306
"337",220862,2012,TRUE,TRUE,2194,8702372,5040365,12060
"338",220978,2012,TRUE,TRUE,3068,12919107,7355121,9315
"339",221050,2012,FALSE,TRUE,393,691081,590825,9815
"340",221096,2012,FALSE,TRUE,811,954709,1606249,8012
"341",221102,2012,FALSE,TRUE,510,539772,886936,10450
"342",221148,2012,FALSE,FALSE,1165,19000,3799979,14086
"343",221157,2012,FALSE,FALSE,163,8000,633104,22257
"344",221184,2012,FALSE,TRUE,825,567002,2863278,6088
"345",221236,2012,FALSE,TRUE,200,426595,1050247,7834
"346",221254,2012,TRUE,FALSE,30,72875,61400,25638
"347",221281,2012,FALSE,TRUE,347,379392,1700146,7014
"348",221333,2012,FALSE,TRUE,238,274224,651078,9032
"349",221351,2012,TRUE,FALSE,554,761750,494010,27755
"350",221388,2012,FALSE,TRUE,188,236000,667288,6411
"351",221397,2012,FALSE,TRUE,916,1533618,2343974,8620
"352",221430,2012,FALSE,TRUE,259,392748,813600,6164
"353",221485,2012,FALSE,TRUE,1278,815976,4352873,5121
"354",221494,2012,FALSE,TRUE,464,584184,500116,6256
"355",221519,2012,TRUE,FALSE,453,527030,469476,25994
"356",221582,2012,FALSE,TRUE,168,173290,496469,6461
"357",221591,2012,FALSE,TRUE,232,423006,941155,10404
"358",221607,2012,FALSE,TRUE,118,141493,307234,9773
"359",221616,2012,FALSE,TRUE,541,1101000,2134497,8400
"360",221625,2012,FALSE,TRUE,491,677753,1170038,6538
"361",221634,2012,FALSE,TRUE,145,24000,653285,13506
"362",221643,2012,FALSE,TRUE,1728,2780213,4021879,8485
"363",221661,2012,TRUE,FALSE,557,399010,922210,20343
"364",221731,2012,TRUE,FALSE,218,864364,482812,11349
"365",221740,2012,TRUE,TRUE,2284,9697688,3334816,11569
"366",221759,2012,TRUE,TRUE,4197,18032316,5442476,16062
"367",221768,2012,TRUE,TRUE,1315,5792518,3124685,7531
"368",221795,2012,TRUE,FALSE,38,23375,118500,25922
"369",221829,2012,FALSE,FALSE,129,0,225170,9845
"370",221838,2012,TRUE,TRUE,1017,1708842,3850328,8038
"371",221847,2012,TRUE,TRUE,2046,8348449,3188374,12389
"372",221892,2012,TRUE,FALSE,234,559350,414496,16513
"373",221908,2012,FALSE,TRUE,951,1210192,2523876,6598
"374",221953,2012,TRUE,FALSE,331,812057,929349,17886
"375",221971,2012,TRUE,FALSE,422,1493988,719102,21944
"376",221999,2012,TRUE,FALSE,1608,772318,1091461,20551
"377",222026,2012,FALSE,FALSE,16,0,50466,9904
"378",222053,2012,FALSE,TRUE,1157,1513168,2475599,6629
"379",222062,2012,FALSE,TRUE,1320,2199973,3411345,4575
"380",222099,2012,FALSE,FALSE,231,27500,690501,12584
"381",222105,2012,FALSE,FALSE,24,0,42190,11256
"382",246202,2012,FALSE,FALSE,183,666,584504,22044
"383",248660,2012,FALSE,FALSE,5,0,16575,13464
"384",248925,2012,FALSE,TRUE,573,730652,1669342,7828
"385",368443,2012,TRUE,FALSE,17,0,57488,23823
"386",368452,2012,TRUE,FALSE,92,9000,160671,18810
"387",376631,2012,FALSE,FALSE,23,0,61425,10926
"388",376677,2012,FALSE,FALSE,30,0,77275,10050
"389",382771,2012,FALSE,FALSE,118,2001,387867,20832
"390",382780,2012,FALSE,FALSE,226,0,820654,7674
"391",388043,2012,FALSE,FALSE,33,5008,174967,20239
"392",392798,2012,FALSE,FALSE,17,0,57443,9194
"393",392840,2012,TRUE,FALSE,47,83750,121761,25317
"394",404718,2012,FALSE,FALSE,54,0,160900,11320
"395",412599,2012,FALSE,FALSE,285,28649,1192846,23445
"396",416670,2012,FALSE,FALSE,149,0,655928,11110
"397",417789,2012,FALSE,FALSE,163,0,603410,10594
"398",418870,2012,FALSE,FALSE,20,0,76294,22365
"399",418889,2012,FALSE,FALSE,87,7000,66023,17254
"400",428073,2012,FALSE,FALSE,18,0,88000,1618
"401",440873,2012,FALSE,FALSE,94,4498,487419,16440
"402",443340,2012,TRUE,FALSE,4,0,5650,14212
"403",443359,2012,FALSE,FALSE,151,0,409284,14316
"404",443650,2012,FALSE,FALSE,80,7500,310897,20740
"405",443766,2012,TRUE,FALSE,2,0,5675,29716
"406",444255,2012,TRUE,FALSE,14,0,56950,24510
"407",444468,2012,FALSE,FALSE,12,0,55500,8420
"408",445249,2012,FALSE,FALSE,110,7667,386103,26392
"409",446075,2012,FALSE,FALSE,15,0,66707,5964
"410",446525,2012,FALSE,FALSE,52,2000,162001,29372
"411",448150,2012,FALSE,FALSE,73,0,277825,9159
"412",448664,2012,FALSE,FALSE,107,7335,434443,20645
"413",449010,2012,TRUE,FALSE,238,268183,748273,25932
"414",449764,2012,TRUE,FALSE,22,17000,13800,29813
"415",450289,2012,TRUE,FALSE,53,667,169869,17615
"416",450535,2012,TRUE,FALSE,7,0,36382,19025
"417",451529,2012,FALSE,FALSE,23,0,66062,10555
"418",451538,2012,FALSE,FALSE,89,0,493950,7607
"419",451918,2012,FALSE,FALSE,110,0,262100,14267
"420",452124,2012,FALSE,FALSE,59,4973,283443,25187
"421",455567,2012,FALSE,FALSE,41,500,201574,16974
"422",456029,2012,FALSE,FALSE,46,0,142101,11209
"423",456940,2012,FALSE,FALSE,47,0,177687,19576
"424",458007,2012,FALSE,FALSE,78,0,255936,5810
"425",458803,2012,FALSE,FALSE,59,0,256751,11954
"426",458812,2012,FALSE,FALSE,25,0,44083,11921
"427",458821,2012,FALSE,FALSE,55,0,251321,12143
"428",459000,2012,FALSE,FALSE,45,0,177593,12039
"429",459073,2012,FALSE,FALSE,45,0,162800,12385
"430",219505,2013,TRUE,FALSE,15,2000,50527,13011
"431",219578,2013,TRUE,FALSE,34,80750,56441,20892
"432",219587,2013,FALSE,FALSE,45,0,149049,14777
"433",219596,2013,FALSE,TRUE,175,372858,594472,6008
"434",219602,2013,TRUE,TRUE,1237,4511451,3015287,11417
"435",219639,2013,TRUE,FALSE,88,504119,217878,9385
"436",219709,2013,TRUE,FALSE,1243,1464100,1007300,30581
"437",219718,2013,TRUE,FALSE,550,1092762,1661541,19267
"438",219790,2013,TRUE,FALSE,187,597326,431712,15680
"439",219806,2013,TRUE,FALSE,478,1890173,962409,14257
"440",219824,2013,FALSE,TRUE,1168,1128273,3322756,7797
"441",219833,2013,TRUE,FALSE,264,1079400,519691,15053
"442",219879,2013,FALSE,TRUE,689,1147818,1982464,4629
"443",219888,2013,FALSE,TRUE,781,1176008,1778536,6563
"444",219903,2013,FALSE,FALSE,1459,245585,5736657,17294
"445",219921,2013,FALSE,TRUE,101,187711,404088,8356
"446",219949,2013,TRUE,FALSE,212,731600,421666,18137
"447",219976,2013,TRUE,FALSE,683,1532650,703983,23176
"448",219994,2013,FALSE,TRUE,411,530349,836874,9631
"449",220002,2013,TRUE,FALSE,13,2000,51350,23655
